Bank,Address,Zip Code,Phone,Safe Stop Hub,Safe Stop Account,Monthly Fee,Min Balance Requirement,Opening Deposit,Opening Fee,US Government Issued ID,SS=1; SS or ITIN = 2; None = 0,Notes
Amalgamated,1212 Fulton Street,11216,718-510-9001,1,1,0,0,5,0,0,2,Gvt issued from most countries
Amalgamated,2067 Bartow Avenue,10475,718.671.1800,0,1,0,0,5,0,0,2,Gvt issued from most countries
Amalgamated,3770 East Tremont Avenue,10465,718.828.4949,0,1,0,0,5,0,0,2,Gvt issued from most countries
Amalgamated,94 E. Burnside Avenue,10453,718.841.2665,0,1,0,0,5,0,0,2,Gvt issued from most countries
Amalgamated,426 86th Street,11209,718.306.1667,0,1,0,0,5,0,0,2,Gvt issued from most countries
Amalgamated,4502 5th Avenue,11220,718.510.9021,0,1,0,0,5,0,0,2,Gvt issued from most countries
Amalgamated,275 7th Avenue,10001,212.895.8988,0,1,0,0,5,0,0,2,Gvt issued from most countries
Amalgamated,1745 Broadway,10019,212.531.9280,0,1,0,0,5,0,0,2,Gvt issued from most countries
Amalgamated,52 Broadway,10004,212.894.3000,0,1,0,0,5,0,0,2,Gvt issued from most countries
Amalgamated,301 3rd Avenue,10010,212.679.5305,0,1,0,0,5,0,0,2,Gvt issued from most countries
Amalgamated,10 East 14th Street,10003,212.823.8708,0,1,0,0,5,0,0,2,Gvt issued from most countries
Amalgamated,564 West 125th Street,10027,212.531.9280,0,1,0,0,5,0,0,2,Gvt issued from most countries
Amalgamated,158‐11 Harry Van Arsdale Jr. Avenue,11365,718.380.7083,0,1,0,0,5,0,0,2,Gvt issued from most countries
Amalgamated,36‐16 21st Street,11106,718.289.7600,0,1,0,0,5,0,0,2,Gvt issued from most countries
Amalgamated,619 Main Street,10044,212.413.8775,0,1,0,0,5,0,0,2,Gvt issued from most countries
Bethex Federal Credit Union,"20 E. 179th Street, LL",10453,718-299-9100,1,1,1 if below monthly balance,10,10,15 OT,0,0,"ID to open: Two Pieces, One Photo ID. Membership: Low- and Moderate-Income New Yorkers"
Bethex Federal Credit Union,75 Varick Street,10013,718.299.9100,0,1,3 if below monthly balance,10,10,15 OT,0,0,"ID to open: Two Pieces, One Photo ID. Membership: Low- and Moderate-Income New Yorkers"
Capital One Bank,161-01 Jamaica Avenue,11432,718-291-2801,1,1,0,25,25,0,1,1,
Capital One Bank,19 East Mount Eden Avenue,10452,718.901.3636,0,1,0,25,25,0,1,1,
Capital One Bank,315 Wyckoff Avenue,11237,718.821.4600,0,1,0,25,25,0,1,1,
Capital One Bank,858 Fulton Street,11238,718.230.3123,0,1,0,25,25,0,1,1,
Capital One Bank,3345 Fulton Street,11208,718.827.3100,0,1,0,25,25,0,1,1,
Capital One Bank,273 East 3rd Street,10009,(646) 602-2194,0,1,0,25,25,0,1,1,
Capital One Bank,333 East 102nd Street,10029,(212) 360-7299,0,1,0,25,25,0,1,1,
Capital One Bank,620 West 181st Street,10033,(212) 568-1037,0,1,0,25,25,0,1,1,
Capital One Bank,146-21 Jamaica Avenue,11435,(718) 657-1500,0,1,0,25,25,0,1,1,
Carver Federal Savings Bank,142 Malcolm X Blvd.,10026,718-230-2900,1,1,0,0,0,0,1,2,Two pieces including one Gvt issued photo
Carver Federal Savings Bank,4 Hanson Place,11217,718.230.2900,0,1,0,0,0,0,1,2,Two pieces including one Gvt issued photo
Carver Federal Savings Bank,1392 Fulton Street,11216,718.230.2900,0,1,0,0,0,0,1,2,Two pieces including one Gvt issued photo
Carver Federal Savings Bank,1009 Nostrand Avenue,11226,718.230.2900,0,1,0,0,0,0,1,2,Two pieces including one Gvt issued photo
Carver Federal Savings Bank,833 Flatbush Avenue,11226,718.230.2900,0,1,0,0,0,0,1,2,Two pieces including one Gvt issued photo
Carver Federal Savings Bank,158-45 Archer Avenue,11433,718.230.2900,0,1,0,0,0,0,1,2,Two pieces including one Gvt issued photo
Carver Federal Savings Bank,115-02 Merrick Boulevard,11434,718.230.2900,0,1,0,0,0,0,1,2,Two pieces including one Gvt issued photo
Carver Federal Savings Bank,75 West 125th Street,10027,718.230.2900,0,1,0,0,0,0,1,2,Two pieces including one Gvt issued photo
Carver Federal Savings Bank,300 West 145th Street,10039,718.230.2900,0,1,0,0,0,0,1,2,Two pieces including one Gvt issued photo
Spring Bank,69 East 167th Street,10452,718-879-5010,1,1,0,0,0,0,0,0,Gvt issued from most countries
Lower Eastside People’s Federal Credit Union,37 Avenue B,10009,212-529-8197,1,1,3 if below monthly balance,25,25,5 Annual,0,2,Gvt issued from most countries. Four free ATMs out of network. How to Join: https://lespeoples.org/about-us/how-do-i-join/
Lower Eastside People’s Federal Credit Union,"2052 Adam Clayton Powell, Jr. Blvd ",10027,212.222.0328,0,1,4 if below monthly balance,25,25,6 Annual,0,2,Gvt issued from most countries. Four free ATMs out of network. How to Join: https://lespeoples.org/about-us/how-do-i-join/
M&T Bank,2644 Atlantic Avenue,11207,718-922-4228,1,1,0,0.01,0,0,1,1,ID to open: US government issued plus a secondary form of ID
M&T Bank,7807 Fifth Avenue,11209,718.680.0200,0,1,0,0.01,0,0,1,1,ID to open: US government issued plus a secondary form of ID
M&T Bank,354 Flatbush Avenue,11238,718.857.1500 ,0,1,0,0.01,0,0,1,1,ID to open: US government issued plus a secondary form of ID
M&T Bank,11 West 42nd Street,10036,212.921.5606,0,1,0,0.01,0,0,1,1,ID to open: US government issued plus a secondary form of ID
